Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2019-01-02 00:00:00-05:00,92.73068564935639,94.77997966425383,92.16247095211507,94.1931381225586,35329300,0.0,0.0,MSFT
2019-01-03 00:00:00-05:00,93.24303324312022,93.3268718349435,90.54168516315463,90.72798919677734,42579100,0.0,0.0,MSFT
2019-01-04 00:00:00-05:00,92.88905108847246,95.48793330274081,92.15316626592872,94.94766235351562,44060600,0.0,0.0,MSFT
2019-01-07 00:00:00-05:00,94.6775435467923,96.19588412991266,94.06275799481172,95.06877136230469,35656100,0.0,0.0,MSFT
2019-01-08 00:00:00-05:00,95.98162960381391,96.84792370348103,94.74273459229953,95.75807189941406,31514400,0.0,0.0,MSFT
2019-01-09 00:00:00-05:00,96.74544674618706,97.69557220674126,96.16791504630794,97.12735748291016,32280800,0.0,0.0,MSFT
2019-01-10 00:00:00-05:00,96.14927562362891,96.64296868803648,95.36681319367068,96.50324249267578,30067600,0.0,0.0,MSFT
2019-01-11 00:00:00-05:00,96.12135583410306,96.35423051566119,94.6775299657341,95.75807189941406,28314200,0.0,0.0,MSFT
2019-01-14 00:00:00-05:00,94.91968392042777,95.82323846304656,94.32352554098685,95.05941009521484,28437100,0.0,0.0,MSFT
2019-01-15 00:00:00-05:00,95.48793414793488,97.85394170917995,94.90108541601377,97.81668090820312,31587600,0.0,0.0,MSFT
2019-01-16 00:00:00-05:00,98.04953301813993,98.98103150786294,97.77008062851523,98.16130828857422,29853900,0.0,0.0,MSFT
2019-01-17 00:00:00-05:00,97.80736584520311,99.32570620417194,97.58380814173859,98.85064697265625,28393000,0.0,0.0,MSFT
2019-01-18 00:00:00-05:00,100.09880572457456,100.50866724770785,98.65498763431793,100.33168029785156,37427600,0.0,0.0,MSFT
2019-01-22 00:00:00-05:00,99.4374685282062,99.76349159382995,97.67693686706806,98.44076538085938,32371300,0.0,0.0,MSFT
2019-01-23 00:00:00-05:00,98.85061920956383,99.70759608779746,98.12404444051957,99.40019989013672,25874300,0.0,0.0,MSFT
2019-01-24 00:00:00-05:00,99.53995584821938,99.67036510317715,98.12407378471872,98.92516326904297,23164800,0.0,0.0,MSFT
2019-01-25 00:00:00-05:00,99.89388654961066,100.49004495780622,98.92512735960065,99.82868194580078,31225600,0.0,0.0,MSFT
2019-01-28 00:00:00-05:00,98.98102728088764,99.18595807695827,97.49063118233194,97.8818588256836,29476700,0.0,0.0,MSFT
2019-01-29 00:00:00-05:00,97.69558383618954,97.77942241706069,95.17122314123856,95.88848114013672,31490500,0.0,0.0,MSFT
2019-01-30 00:00:00-05:00,97.45338678308951,99.09281921386719,97.18325133435708,99.09281921386719,49471900,0.0,0.0,MSFT
2019-01-31 00:00:00-05:00,96.68957890392919,98.01230550280232,96.11204708578073,97.27642059326172,55636400,0.0,0.0,MSFT
2019-02-01 00:00:00-05:00,96.6709088586264,96.96898808099108,95.33886577907846,95.73941040039062,35535700,0.0,0.0,MSFT
2019-02-04 00:00:00-05:00,95.82326935860051,98.55256070658746,95.73011380752806,98.49666595458984,31315100,0.0,0.0,MSFT
2019-02-05 00:00:00-05:00,98.79472539302657,99.92183768821825,98.70157696743796,99.8752670288086,27325400,0.0,0.0,MSFT
2019-02-06 00:00:00-05:00,99.6703393486801,99.6703393486801,98.30103541867585,98.76678466796875,20609800,0.0,0.0,MSFT
2019-02-07 00:00:00-05:00,97.98433103998504,98.35692476046651,97.14598095536239,98.05884552001953,29760700,0.0,0.0,MSFT
2019-02-08 00:00:00-05:00,97.23913288543345,98.53391529898809,97.11804063259544,98.43144989013672,21461100,0.0,0.0,MSFT
2019-02-11 00:00:00-05:00,98.92515064403747,99.27912466812353,97.77941132073386,98.04022979736328,18914100,0.0,0.0,MSFT
2019-02-12 00:00:00-05:00,98.86923966395625,99.80073806448854,98.25445441512471,99.56786346435547,25056600,0.0,0.0,MSFT
2019-02-13 00:00:00-05:00,100.13610640866298,100.39692489757431,99.40022161107984,99.49337005615234,18394900,0.0,0.0,MSFT
2019-02-14 00:00:00-05:00,99.02760638600282,99.94047807179034,98.42213802731075,99.57719421386719,21784700,0.0,0.0,MSFT
2019-02-15 00:00:00-05:00,100.51802327460611,100.88130718152279,100.00569617163606,100.8067855834961,26606900,0.0,0.0,MSFT
2019-02-19 00:00:00-05:00,100.40622599309603,101.21663226126545,100.39690901803118,100.76019287109375,18038500,0.0,0.0,MSFT
2019-02-20 00:00:00-05:00,100.90050803428319,100.97534787622101,99.4318100375744,100.23632049560547,21607700,0.46,0.0,MSFT
2019-02-21 00:00:00-05:00,100.00246111736158,102.41599272737103,99.97439795817183,102.35050964355469,29063200,0.0,0.0,MSFT
2019-02-22 00:00:00-05:00,102.94920816579223,104.02500060337063,102.73404539600429,103.80984497070312,27763200,0.0,0.0,MSFT
2019-02-25 00:00:00-05:00,104.54887563198757,104.9417741242156,104.08113729253878,104.38983917236328,23750600,0.0,0.0,MSFT
2019-02-26 00:00:00-05:00,104.08114545694866,105.93338542967308,103.99694883794052,105.11016845703125,21536700,0.0,0.0,MSFT
2019-02-27 00:00:00-05:00,104.48340160464026,105.11016932090934,103.7256605758242,104.93242645263672,21487100,0.0,0.0,MSFT
2019-02-28 00:00:00-05:00,104.8108246621816,105.59662177185771,104.52082912938997,104.80146789550781,29083900,0.0,0.0,MSFT
2019-03-01 00:00:00-05:00,105.60596775127947,105.72757715712973,104.46468499579466,105.26919555664062,23501200,0.0,0.0,MSFT
2019-03-04 00:00:00-05:00,105.72757397781771,105.94273676013616,103.65082168948928,105.01661682128906,26608000,0.0,0.0,MSFT
2019-03-05 00:00:00-05:00,105.00726715217029,105.13823332865095,104.053083989651,104.49275207519531,19538300,0.0,0.0,MSFT
2019-03-06 00:00:00-05:00,104.65178003600305,105.39080747866157,104.2401680079095,104.53952026367188,17687000,0.0,0.0,MSFT
2019-03-07 00:00:00-05:00,104.21212951776471,104.35245248211515,102.7808509830596,103.26729583740234,25339000,0.0,0.0,MSFT
2019-03-08 00:00:00-05:00,102.11664728208461,103.5666319882436,101.77987507509204,103.3795394897461,22818400,0.0,0.0,MSFT
2019-03-11 00:00:00-04:00,103.82856941761963,105.66210311360568,103.81921978822255,105.54985046386719,26491600,0.0,0.0,MSFT
2019-03-12 00:00:00-04:00,105.5404875042275,106.6349935976822,105.3814581683487,106.28887176513672,26132700,0.0,0.0,MSFT
2019-03-13 00:00:00-04:00,106.76597729676371,107.5798447788022,106.43856180529617,107.11210632324219,35513800,0.0,0.0,MSFT
2019-03-14 00:00:00-04:00,107.14949662396798,107.76690750325866,106.95304738341547,107.1962661743164,30763400,0.0,0.0,MSFT
2019-03-15 00:00:00-04:00,107.89788559430455,109.6846496238026,107.19627802741456,108.43111419677734,54681100,0.0,0.0,MSFT
2019-03-18 00:00:00-04:00,108.67433228286707,110.02142108610471,108.56207964067806,109.98400115966797,31207600,0.0,0.0,MSFT
2019-03-19 00:00:00-04:00,110.47045811136597,110.79788071951401,109.44143500080321,110.05885314941406,37588700,0.0,0.0,MSFT
2019-03-20 00:00:00-04:00,109.8156235537062,111.0878726024812,109.1794990293187,109.9372329711914,28113300,0.0,0.0,MSFT
2019-03-21 00:00:00-04:00,109.58173524382708,113.02428963378905,109.53495855603762,112.46300506591797,29854400,0.0,0.0,MSFT
2019-03-22 00:00:00-04:00,111.78947382143294,111.87366330476891,109.48820182767221,109.49755859375,33624500,0.0,0.0,MSFT
2019-03-25 00:00:00-04:00,109.0391690106127,110.39561459673766,108.81465658630007,110.06819915771484,27067100,0.0,0.0,MSFT
2019-03-26 00:00:00-04:00,110.96626595073009,111.0504554409824,109.31046793788197,110.30207824707031,26097700,0.0,0.0,MSFT
2019-03-27 00:00:00-04:00,110.2740060722308,110.58271513881942,108.06628018403877,109.23562622070312,22733400,0.0,0.0,MSFT
2019-03-28 00:00:00-04:00,109.86239483668156,109.99336101432725,108.63691540710921,109.38529968261719,18334800,0.0,0.0,MSFT
2019-03-29 00:00:00-04:00,110.45173330258429,110.6856024767777,109.41335359819583,110.33012390136719,25399800,0.0,0.0,MSFT
2019-04-01 00:00:00-04:00,111.27497100604475,111.42465073129794,110.47981709272298,111.3404541015625,22789100,0.0,0.0,MSFT
2019-04-02 00:00:00-04:00,111.37785702929526,111.77076267954062,110.87269873936926,111.49947357177734,18142300,0.0,0.0,MSFT
2019-04-03 00:00:00-04:00,112.12625347181852,112.65947497970495,111.4620657786352,112.22915649414062,22860700,0.0,0.0,MSFT
2019-04-04 00:00:00-04:00,112.35077446844451,112.47239103342567,110.7417530555566,111.65852355957031,20112800,0.0,0.0,MSFT
2019-04-05 00:00:00-04:00,111.68655854217002,112.47236265262706,111.66785214918987,112.154296875,15826200,0.0,0.0,MSFT
2019-04-08 00:00:00-04:00,112.0794516619142,112.27590089584136,110.98494572841143,112.19171142578125,15116200,0.0,0.0,MSFT
