Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,daily_pct_change
2019-01-02 05:00:00,36.750296458044986,37.68987565156259,36.59369932239069,37.469215393066406,148158800,0.0,0.0,AAPL,
2019-01-03 05:00:00,34.16169817620422,34.57454401761466,33.69191057763836,33.73699188232422,365248800,0.0,0.0,AAPL,-0.09960773054865801
2019-01-04 05:00:00,34.29219923540596,35.24601358953824,34.11899533904399,35.17720413208008,234428400,0.0,0.0,AAPL,0.04268940914410413
2019-01-07 05:00:00,35.28160408429917,35.31244995449789,34.61725572428317,35.098907470703125,219111200,0.0,0.0,AAPL,-0.0022257784070323083
2019-01-08 05:00:00,35.48565323681881,36.021878993464554,35.238897140785376,35.768001556396484,164101200,0.0,0.0,AAPL,0.019063102925692244
2019-01-09 05:00:00,35.89612775325254,36.66487424188444,35.502267230819925,36.37540817260742,180396400,0.0,0.0,AAPL,0.0169818438207463
2019-01-10 05:00:00,36.18321706609208,36.53199984154206,35.79409933557466,36.49166488647461,143122800,0.0,0.0,AAPL,0.0031960249989644307
2019-01-11 05:00:00,36.27337496621485,36.46793199596804,35.94831676050969,36.13338470458984,108092800,0.0,0.0,AAPL,-0.009818137456851561
2019-01-14 05:00:00,35.79171663142042,35.89136830421048,35.4049703900353,35.59003829956055,129756800,0.0,0.0,AAPL,-0.015037240753155157
2019-01-15 05:00:00,35.654106540640925,36.39437828584423,35.601907520616955,36.31845474243164,114843600,0.0,0.0,AAPL,0.02046686313569057
2019-01-16 05:00:00,36.32083304295525,36.98518137158213,36.30185124837653,36.762149810791016,122278800,0.0,0.0,AAPL,0.012216793679853177
2019-01-17 05:00:00,36.58656655845522,37.4075118790449,36.36353502429012,36.980430603027344,119284800,0.0,0.0,AAPL,0.0059376503648396195
2019-01-18 05:00:00,37.369553633249645,37.45971625451414,37.00890676859886,37.20821380615234,135004000,0.0,0.0,AAPL,0.006159560594904079
2019-01-22 05:00:00,37.11093601889627,37.18685958381331,36.21169197229735,36.3730354309082,121576000,0.0,0.0,AAPL,-0.02244607547127231
2019-01-23 05:00:00,36.57470436511674,36.80959998409829,35.99340097474768,36.52013397216797,92522400,0.0,0.0,AAPL,0.004044164571834763
2019-01-24 05:00:00,36.565218274806185,36.65300590810053,36.00289663164888,36.23067092895508,101766000,0.0,0.0,AAPL,-0.0079261221613669
2019-01-25 05:00:00,36.89026034045168,37.51901986147669,36.61503346004078,37.43122863769531,134142000,0.0,0.0,AAPL,0.03313650224955578
2019-01-28 05:00:00,36.96383036040819,37.09195658871479,36.45845402993215,37.0848388671875,104768400,0.0,0.0,AAPL,-0.009254031543035723
2019-01-29 05:00:00,37.07296946155649,37.51903258864824,36.5652182166273,36.70045852661133,166348800,0.0,0.0,AAPL,-0.01036489175408739
2019-01-30 05:00:00,38.73383622739391,39.421909052183295,38.017288901847,39.20837020874024,244439200,0.0,0.0,AAPL,0.06833461441116429
2019-01-31 05:00:00,39.41242410665209,40.09812563692884,39.04465950838577,39.49072265625,162958400,0.0,0.0,AAPL,0.007201330889464508
2019-02-01 05:00:00,39.61410648111566,40.09338329388807,39.36971809982081,39.509708404541016,130672400,0.0,0.0,AAPL,0.0004807647724323072
2019-02-04 05:00:00,39.72088005381576,40.72926507583296,39.69003417696464,40.63198471069336,125982000,0.0,0.0,AAPL,0.028405076915813288
2019-02-05 05:00:00,41.013969357855885,41.54070233089087,40.89296450420444,41.3271598815918,144406400,0.0,0.0,AAPL,0.01710906262266554
2019-02-06 05:00:00,41.43868450470518,41.65697335385666,41.011606755653766,41.341407775878906,112958400,0.0,0.0,AAPL,0.0003447586122040658
2019-02-07 05:00:00,40.904829885716296,41.27022309791329,40.41606043860214,40.55842208862305,126966800,0.0,0.0,AAPL,-0.01893950229030905
2019-02-08 05:00:00,40.26771919259328,40.66565407118559,40.13189521411374,40.606082916259766,95280000,0.1825,0.0,AAPL,0.0011751154305899014
2019-02-11 05:00:00,40.75857827237781,40.796704677929405,40.32966529975781,40.372554779052734,83973600,0.0,0.0,AAPL,-0.005751062905738236
2019-02-12 05:00:00,40.53221193539128,40.7466666211287,40.43689591378119,40.72045516967773,89134000,0.0,0.0,AAPL,0.008617249825505269
2019-02-13 05:00:00,40.83959548318567,41.09932481206212,40.48931684716783,40.55126953125,89960800,0.0,0.0,AAPL,-0.004154807153376572
2019-02-14 05:00:00,40.43927202892135,40.80861016763848,40.36063769218149,40.69900131225586,87342800,0.0,0.0,AAPL,0.003643086461004863
2019-02-15 05:00:00,40.80623611906368,40.91346345759115,40.44880923334926,40.60845947265625,98507200,0.0,0.0,AAPL,-0.002224669812041391
2019-02-19 05:00:00,40.43928799608219,40.85151940666658,40.38686508422347,40.7299919128418,75891200,0.0,0.0,AAPL,0.0029927862756620183
2019-02-20 05:00:00,40.79194536512053,41.29949277774976,40.74428916750655,40.99210357666016,104457600,0.0,0.0,AAPL,0.006435347799215396
2019-02-21 05:00:00,40.93728769197398,41.07310799901791,40.579860855843705,40.76095581054688,68998800,0.0,0.0,AAPL,-0.005638836408602632
2019-02-22 05:00:00,40.88486432636196,41.22322795767942,40.83720814261498,41.21607971191406,75652800,0.0,0.0,AAPL,0.011165682754902928
2019-02-25 05:00:00,41.499648872153486,41.90711352229098,41.44960750385408,41.51632690429688,87493600,0.0,0.0,AAPL,0.007284710105411429
2019-02-26 05:00:00,41.39241441823523,41.771286013409664,41.26373871380323,41.5401496887207,68280800,0.0,0.0,AAPL,0.000573817247338404
2019-02-27 05:00:00,41.273273603636405,41.69980140101289,41.158894387635335,41.6688232421875,111341600,0.0,0.0,AAPL,0.003097570770230984
2019-02-28 05:00:00,41.53776831669921,41.67835534148874,41.20416773449612,41.25897216796875,112861600,0.0,0.0,AAPL,-0.009835916695717928
2019-03-01 05:00:00,41.52822531350751,41.73553167970715,41.19700998046142,41.69264221191406,103544800,0.0,0.0,AAPL,0.010510926985282332
