Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,daily_pct_change,daily_return,log_return,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_histogram,bb_mid,bb_upper,bb_lower,volatility_20d
2019-01-02 05:00:00,3.234881381222815,3.429013743136944,3.2202719163607765,3.37305212020874,508752000,0.0,0.0,NVDA,,,,,,,3.37305212020874,3.37305212020874,,0.0,0.0,0.0,,,,
2019-01-03 05:00:00,3.3128813142677016,3.3468050027285576,3.161834411800639,3.169262886047364,705552000,0.0,0.0,NVDA,-0.0604168648745233,-0.060416864874523246,-0.06231897535220991,,,,3.3416999303377586,3.357956621381971,,-0.016256691044212346,-0.0032513382088424692,-0.013005352835369877,,,,
2019-01-04 05:00:00,3.242310091713328,3.4104426909025465,3.211605559520312,3.372309684753418,585620000,0.0,0.0,NVDA,0.0640675153834555,0.06406751538345534,0.062098843214072,,,,3.346409123324783,3.359019811261337,,-0.012610687936554399,-0.005123208154384855,-0.0074874797821695436,,,,
2019-01-07 05:00:00,3.429509056935601,3.587736928249832,3.378251954619349,3.550841808319092,709160000,0.0,0.0,NVDA,0.0529406075523957,0.05294060755239571,0.05158682847698006,,,,3.3778603056315997,3.37322884808043,,0.004631457551169671,-0.00317227501327395,0.007803732564443621,,,,
2019-01-08 05:00:00,3.632308061543531,3.634536816055823,3.389890036843315,3.46244215965271,786016000,0.0,0.0,NVDA,-0.0248954060581563,-0.024895406058156322,-0.025210537900142695,,,,3.3908728985579244,3.3798372415302285,,0.011035657027695933,-0.00033068860507997353,0.011366345632775906,,,,
2019-01-09 05:00:00,3.513698909920698,3.5778321572029506,3.4631849627780333,3.5305371284484863,617260000,0.0,0.0,NVDA,0.019666745509651,0.019666745509651085,0.019475853822966,,,,3.4123597031564725,3.391000196116766,,0.02135950703970657,0.004007350523877335,0.017352156515829234,,,,
2019-01-10 05:00:00,3.5112228156861867,3.6048222344457934,3.45080392460482,3.5961556434631348,523156000,0.0,0.0,NVDA,0.0185859863888429,0.0185859863888429,0.018415377656119364,,,,3.44063600166519,3.4061968959202007,,0.034439105744989096,0.010093701568099689,0.024345404176889407,,,,
2019-01-11 05:00:00,3.5738703955257685,3.708079538497349,3.546137301225491,3.6852986812591553,874764000,0.0,0.0,NVDA,0.0247884259286883,0.02478842592868835,0.024486177556017015,,,,3.4782764139104154,3.4268711022416047,,0.05140531166881068,0.01835602358824189,0.0330492880805688,,,,
2019-01-14 05:00:00,3.633051063973084,3.750421983358888,3.609527289244213,3.725164890289306,730168000,0.0,0.0,NVDA,0.010817633108785,0.01081763310878503,0.010759541085705648,,,,3.516259256430245,3.448966938393286,,0.06729231803695868,0.028143282477985247,0.03914903555897343,,,,
2019-01-15 05:00:00,3.757849859751598,3.7972212114031887,3.692726455192462,3.711050271987915,617012000,0.0,0.0,NVDA,-0.0037889915526114,-0.003788991552611476,-0.0037961879649527517,,,,3.5462271049775786,3.4683805186595547,,0.07784658631802399,0.038083943245993,0.03976264307203099,,,,
2019-01-16 05:00:00,3.7382888658650337,3.771221915315453,3.680098722595817,3.685546159744263,470104000,0.0,0.0,NVDA,-0.0068724782405036,-0.006872478240503632,-0.006896202477769865,,,,3.5676608057109145,3.4844668624436075,,0.083193943267307,0.0471059432502558,0.0360880000170512,,,,
2019-01-17 05:00:00,3.6526129641538416,3.796726575347288,3.6253748349137225,3.756860017776489,493436000,0.0,0.0,NVDA,0.0193496038148044,0.01934960381480444,0.019164780596398583,,,,3.5967683767979257,3.5046441332090064,,0.09212424358891935,0.05610960331798852,0.036014640270930834,,,,
2019-01-18 05:00:00,3.806631112438468,3.911868797573999,3.755126529017135,3.885868787765503,651336000,0.0,0.0,NVDA,0.0343395200722354,0.0343395200722354,0.033763078158493935,,,,3.6412453631006296,3.5328829965094872,,0.1083623665911424,0.0665601559726193,0.0418022106185231,,,,
2019-01-22 05:00:00,3.855660303850537,3.867298334059227,3.653603998599175,3.683813333511353,661552000,0.0,0.0,NVDA,-0.0519974979315599,-0.051997497931559944,-0.05339813741789775,,,,3.647794281625356,3.544063021472588,,0.10373126015276801,0.07399437680864905,0.02973688334411896,,,,
2019-01-23 05:00:00,3.7390314439548784,3.8276786281555033,3.66548892381836,3.696688652038574,591020000,0.0,0.0,NVDA,0.0034951061200889,0.0034951061200889644,0.0034890124312918157,,,,3.6553164924581587,3.5553686237367352,61.630200359916564,0.09994786872142347,0.07918507519120394,0.020762793530219537,,,,
2019-01-24 05:00:00,3.7811268114937553,3.925983108591916,3.7764220564709214,3.908402442932129,708972000,0.0,0.0,NVDA,0.0572711988543592,0.05727119885435927,0.05569124810759371,,,,3.6942527925310773,3.581519277010468,76.41128798664725,0.11273351552060928,0.085894763257085,0.02683875226352428,,,,
2019-01-25 05:00:00,3.848973687391146,3.9836777833396,3.7464599562394896,3.965601682662964,1154572000,0.0,0.0,NVDA,0.0146349411469315,0.014634941146931535,0.014528883904530698,,,,3.7359987756282904,3.60996982557732,73.66655590019762,0.1260289500509706,0.09392160061586212,0.03210734943510847,,,,
2019-01-28 05:00:00,3.381222891310008,3.507260378824377,3.243795095729185,3.417375087738037,2511528000,0.0,0.0,NVDA,-0.1382455018923595,-0.1382455018923595,-0.14878485386261972,,,,3.6869797467220975,3.5957035487003357,45.88861087927321,0.09127619802176179,0.09339252009704205,-0.002116322075280258,,,,
2019-01-29 05:00:00,3.371319099478762,3.419604771292612,3.244043459339637,3.258652925491333,1153932000,0.0,0.0,NVDA,-0.0464456368328483,-0.0464456368328483,-0.047558841233251416,,,,3.6210833126865953,3.570736835870039,43.98303953668318,0.05034647681655624,0.08478331144094489,-0.03443683462438865,,,,
2019-01-30 05:00:00,3.3346711511975444,3.4163850611148643,3.255185759523989,3.4020233154296875,974228000,0.0,0.0,NVDA,0.0439968272830828,0.04399682728308285,0.04305645045495071,3.5918473839759826,,,3.5873817746470706,3.5582395380596425,46.367063866497716,0.029142236587428094,0.07365509647024154,-0.04451285988281345,3.5918473839759826,4.0263743175801405,3.1573204503718246,
2019-01-31 05:00:00,3.398804902318965,3.5951660470436764,3.3770144428723934,3.559509038925171,842852000,0.0,0.0,NVDA,0.046291782534592,0.046291782534592096,0.0452522775410804,3.601170229911804,,,3.5830936614590865,3.558333575160793,49.01519352007626,0.024760086298293515,0.06387609443585195,-0.03911600813755843,3.601170229911804,4.02376894665509,3.1785715131685186,0.04894307681224078
2019-02-01 05:00:00,3.578079650274053,3.63478418856549,3.530537139421069,3.5837748050689697,625048000,0.0,0.0,NVDA,0.0068171666031577,0.006817166603157787,0.006794034792341695,3.6218958258628846,,,3.5831984527836838,3.5602181107095467,47.173173916899586,0.022980342074137017,0.055696943963508966,-0.03271660188937195,3.6218958258628846,3.992803275998209,3.25098837572756,0.046544659245385124
2019-02-04 05:00:00,3.599622382468844,3.731107559503088,3.577584445320874,3.693964958190918,528592000,0.0,0.0,NVDA,0.0307469523381025,0.03074695233810254,0.030283735858422624,3.6379785895347596,,,3.600239453615566,3.5701252845970557,49.1640095446854,0.030114169018510495,0.05058038897450927,-0.020466219955998774,3.6379785895347596,3.9907708232904486,3.2851863557790706,0.04497335852235871
2019-02-05 05:00:00,3.705850539160137,3.749678932348677,3.672174573691517,3.713031530380249,542424000,0.0,0.0,NVDA,0.0051615465780348,0.0051615465780348035,0.00514827145700545,3.6460880756378176,,,3.6175920808101325,3.5807109324328477,50.05294656894765,0.036881148377284845,0.04784054085506438,-0.010959392477779537,3.6460880756378176,3.9979017407127375,3.2942744105628976,0.04357206395204701
