Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,daily_pct_change
2019-01-02 05:00:00,3.234881381222815,3.429013743136944,3.2202719163607765,3.37305212020874,508752000,0.0,0.0,NVDA,
2019-01-03 05:00:00,3.3128813142677016,3.3468050027285576,3.161834411800639,3.1692628860473637,705552000,0.0,0.0,NVDA,-0.06041686487452336
2019-01-04 05:00:00,3.242310091713328,3.4104426909025465,3.211605559520312,3.372309684753418,585620000,0.0,0.0,NVDA,0.06406751538345556
2019-01-07 05:00:00,3.429509056935601,3.5877369282498317,3.378251954619349,3.550841808319092,709160000,0.0,0.0,NVDA,0.05294060755239571
2019-01-08 05:00:00,3.632308061543531,3.634536816055823,3.389890036843315,3.46244215965271,786016000,0.0,0.0,NVDA,-0.024895406058156322
2019-01-09 05:00:00,3.513698909920698,3.5778321572029506,3.4631849627780333,3.5305371284484863,617260000,0.0,0.0,NVDA,0.019666745509651085
2019-01-10 05:00:00,3.5112228156861867,3.6048222344457934,3.45080392460482,3.5961556434631348,523156000,0.0,0.0,NVDA,0.0185859863888429
2019-01-11 05:00:00,3.5738703955257685,3.708079538497349,3.546137301225491,3.6852986812591553,874764000,0.0,0.0,NVDA,0.02478842592868835
2019-01-14 05:00:00,3.633051063973084,3.750421983358888,3.609527289244213,3.725164890289306,730168000,0.0,0.0,NVDA,0.01081763310878503
2019-01-15 05:00:00,3.757849859751598,3.7972212114031887,3.692726455192462,3.711050271987915,617012000,0.0,0.0,NVDA,-0.003788991552611476
2019-01-16 05:00:00,3.7382888658650337,3.771221915315453,3.680098722595817,3.685546159744263,470104000,0.0,0.0,NVDA,-0.006872478240503632
2019-01-17 05:00:00,3.6526129641538416,3.796726575347288,3.6253748349137225,3.756860017776489,493436000,0.0,0.0,NVDA,0.01934960381480444
2019-01-18 05:00:00,3.806631112438468,3.911868797573999,3.755126529017135,3.885868787765503,651336000,0.0,0.0,NVDA,0.0343395200722354
